unicef_region,iso3,country,vaccine,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Latin America & Caribbean,HND,Honduras,ROTAC,91,90,95,99,99,98,98,97,97,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,HUN,Hungary,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,ISL,Iceland,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,IND,India,ROTAC,35,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,IDN,Indonesia,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,IRN,Iran (Islamic Republic of),ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,IRQ,Iraq,ROTAC,60,63,53,43,29,52,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,IRL,Ireland,ROTAC,89,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,ISR,Israel,ROTAC,81,81,81,80,81,80,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,ITA,Italy,ROTAC,19,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,JAM,Jamaica,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,JPN,Japan,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,JOR,Jordan,ROTAC,93,96,97,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,KAZ,Kazakhstan,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,KEN,Kenya,ROTAC,78,67,74,66,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,KIR,Kiribati,ROTAC,97,91,79,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,KWT,Kuwait,ROTAC,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,KGZ,Kyrgyzstan,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,LAO,Lao People's Democratic Republic,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,LVA,Latvia,ROTAC,79,78,73,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,LBN,Lebanon,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,LSO,Lesotho,ROTAC,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,LBR,Liberia,ROTAC,74,74,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,LBY,Libya,ROTAC,97,96,97,93,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,LTU,Lithuania,ROTAC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,LUX,Luxembourg,ROTAC,89,89,89,89,89,89,89,88,87,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MDG,Madagascar,ROTAC,78,77,78,69,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MWI,Malawi,ROTAC,90,85,81,84,83,81,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,MYS,Malaysia,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,MDV,Maldives,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,MLI,Mali,ROTAC,55,51,47,35,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,MLT,Malta,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,MHL,Marshall Islands,ROTAC,42,46,38,41,44,52,60,43,25,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,MRT,Mauritania,ROTAC,76,76,73,56,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MUS,Mauritius,ROTAC,95,90,92,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,MEX,Mexico,ROTAC,77,70,72,81,85,81,99,98,90,93,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,FSM,Micronesia (Federated States of),ROTAC,52,35,35,46,40,33,45,40,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,MCO,Monaco,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,MNG,Mongolia,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,MNE,Montenegro,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,MAR,Morocco,ROTAC,99,99,99,90,90,90,88,80,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MOZ,Mozambique,ROTAC,80,80,70,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,MMR,Myanmar,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,NAM,Namibia,ROTAC,92,86,86,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,NRU,Nauru,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,NPL,Nepal,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,NLD,Netherlands,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,NZL,New Zealand,ROTAC,86,89,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,NIC,Nicaragua,ROTAC,98,98,98,98,98,98,98,98,98,94,89,66,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,NER,Niger,ROTAC,79,85,80,47,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,NGA,Nigeria,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,NIU,Niue,ROTAC,99,99,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,NOR,Norway,ROTAC,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,OMN,Oman,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,PAK,Pakistan,ROTAC,58,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,PLW,Palau,ROTAC,93,95,98,97,99,99,89,89,76,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,PAN,Panama,ROTAC,95,94,92,87,87,87,92,95,89,78,74,66,82,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,PNG,Papua New Guinea,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,PRY,Paraguay,ROTAC,91,93,91,91,90,86,87,85,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,PER,Peru,ROTAC,85,85,87,87,86,86,91,84,75,41,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,PHL,Philippines,ROTAC,,,,2,1,28,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,POL,Poland,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,PRT,Portugal,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,QAT,Qatar,ROTAC,95,93,99,92,90,97,90,93,55,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,KOR,Republic of Korea,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,MDA,Republic of Moldova,ROTAC,75,65,70,62,69,65,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,MKD,Republic of North Macedonia,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,ROU,Romania,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,RUS,Russian Federation,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,RWA,Rwanda,ROTAC,98,98,98,98,98,98,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,KNA,Saint Kitts and Nevis,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,LCA,Saint Lucia,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,VCT,Saint Vincent and the Grenadines,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,WSM,Samoa,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,SMR,San Marino,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,STP,Sao Tome and Principe,ROTAC,95,95,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,SAU,Saudi Arabia,ROTAC,97,97,95,95,94,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,SEN,Senegal,ROTAC,80,94,93,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,SRB,Serbia,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SYC,Seychelles,ROTAC,99,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,SLE,Sierra Leone,ROTAC,92,92,95,85,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,SGP,Singapore,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,SVK,Slovakia,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,SVN,Slovenia,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,SLB,Solomon Islands,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SOM,Somalia,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,ZAF,South Africa,ROTAC,70,71,73,85,85,77,74,67,60,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
