unicef_region,iso3,country,vaccine,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
West & Central Africa,GNQ,Equatorial Guinea,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,ERI,Eritrea,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,EST,Estonia,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SWZ,Eswatini,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,ETH,Ethiopia,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,FJI,Fiji,HEPBB,90,90,90,90,90,90,90,90,90,90,90,90,90,90,86,96,95,99,,,,,,,,,,,,,,,,,,,,,
Western Europe,FIN,Finland,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,FRA,France,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GAB,Gabon,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GMB,Gambia,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,GEO,Georgia,HEPBB,97,94,94,93,95,80,92,93,95,73,99,99,97,93,92,90,80,69,,,,,,,,,,,,,,,,,,,,,
Western Europe,DEU,Germany,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GHA,Ghana,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,GRC,Greece,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,GRD,Grenada,HEPBB,95,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,GTM,Guatemala,HEPBB,48,45,38,32,22,32,35,31,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GIN,Guinea,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GNB,Guinea-Bissau,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,GUY,Guyana,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,HTI,Haiti,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,HND,Honduras,HEPBB,79,75,80,80,79,79,78,77,78,72,61,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,HUN,Hungary,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,ISL,Iceland,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,IND,India,HEPBB,54,54,47,44,41,37,23,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,IDN,Indonesia,HEPBB,54,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,IRN,Iran (Islamic Republic of),HEPBB,95,95,95,96,97,99,96,99,99,99,99,99,99,96,99,99,99,94,99,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,IRQ,Iraq,HEPBB,41,44,47,43,43,43,37,32,27,60,92,90,88,93,92,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,IRL,Ireland,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
