unicef_region,iso3,country,vaccine,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Eastern & Southern Africa,KEN,Kenya,HIB3,92,82,90,89,92,93,94,96,90,88,88,81,80,76,73,73,84,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,KIR,Kiribati,HIB3,95,90,81,82,75,95,94,95,91,86,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,KWT,Kuwait,HIB3,99,99,99,99,95,99,98,99,98,99,99,99,99,99,98,99,99,99,98,94,94,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,KGZ,Kyrgyzstan,HIB3,92,92,96,97,96,97,96,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,LAO,Lao People's Democratic Republic,HIB3,68,69,66,81,88,87,79,78,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,LVA,Latvia,HIB3,96,98,98,94,92,94,90,91,90,94,94,94,96,99,98,96,87,84,79,76,47,67,35,58,10,,,,,,,,,,,,,,
Middle East & North Africa,LBN,Lebanon,HIB3,85,85,85,85,85,85,84,83,83,82,81,80,78,77,75,74,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,LSO,Lesotho,HIB3,93,93,93,93,93,93,95,96,94,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,LBR,Liberia,HIB3,84,86,79,52,50,76,80,77,47,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,LBY,Libya,HIB3,97,96,97,97,94,96,98,98,98,98,98,56,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,LTU,Lithuania,HIB3,92,94,94,93,93,93,93,92,95,98,96,95,94,61,35,10,5,4,2,2,,,,,,,,,,,,,,,,,,,
Western Europe,LUX,Luxembourg,HIB3,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,96,93,91,88,86,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MDG,Madagascar,HIB3,75,74,77,69,73,74,70,73,71,77,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MWI,Malawi,HIB3,92,88,84,88,91,89,96,97,93,93,91,87,99,93,89,84,64,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,MYS,Malaysia,HIB3,99,99,95,99,97,97,99,95,95,95,95,90,89,85,71,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,MDV,Maldives,HIB3,99,99,99,99,99,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,MLI,Mali,HIB3,71,70,69,67,66,64,65,66,73,73,74,44,16,1,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,MLT,Malta,HIB3,97,98,97,97,99,99,99,96,76,73,72,72,83,83,83,84,84,84,93,91,89,64,38,,,,,,,,,,,,,,,,
East Asia & Pacific,MHL,Marshall Islands,HIB3,72,65,58,70,65,66,67,80,92,99,92,83,60,69,46,70,80,45,45,,,,,,,,,,,,,,,,,,,,
West & Central Africa,MRT,Mauritania,HIB3,81,81,74,73,81,80,80,75,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MUS,Mauritius,HIB3,97,96,96,97,97,98,98,98,99,99,99,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,MEX,Mexico,HIB3,88,85,93,87,87,83,99,97,95,95,96,98,98,98,98,98,97,97,97,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,FSM,Micronesia (Federated States of),HIB3,59,44,46,61,65,68,66,72,70,73,73,79,59,74,65,68,70,73,75,40,,,,,,,,,,,,,,,,,,,
Western Europe,MCO,Monaco,HIB3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,MNG,Mongolia,HIB3,99,99,99,99,99,98,99,99,96,97,96,78,56,28,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,MNE,Montenegro,HIB3,87,87,89,89,91,94,94,90,90,87,93,89,90,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,MAR,Morocco,HIB3,99,99,99,99,99,99,99,99,99,99,99,91,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MOZ,Mozambique,HIB3,80,80,80,80,79,78,76,76,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,MMR,Myanmar,HIB3,91,89,90,89,88,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,NAM,Namibia,HIB3,89,88,85,92,88,89,84,82,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,NRU,Nauru,HIB3,90,87,97,91,95,87,79,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,NPL,Nepal,HIB3,91,90,87,91,92,92,90,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,NLD,Netherlands,HIB3,93,94,95,96,96,97,97,97,97,97,97,97,96,96,97,97,96,96,96,96,96,96,,,,,,,,,,,,,,,,,
East Asia & Pacific,NZL,New Zealand,HIB3,92,93,92,92,93,92,93,94,89,98,86,78,80,80,83,85,88,90,90,88,81,86,,,,,,,,,,,,,,,,,
Latin America & Caribbean,NIC,Nicaragua,HIB3,98,98,98,98,98,98,98,98,98,98,97,93,88,86,79,86,85,87,83,80,,,,,,,,,,,,,,,,,,,
West & Central Africa,NER,Niger,HIB3,79,85,80,84,81,73,71,75,70,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,NGA,Nigeria,HIB3,57,57,57,42,43,27,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,NIU,Niue,HIB3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,
Western Europe,NOR,Norway,HIB3,96,96,96,95,94,95,95,95,94,95,94,95,95,93,94,94,95,93,93,94,95,96,97,,,,,,,,,,,,,,,,
Middle East & North Africa,OMN,Oman,HIB3,99,99,99,99,99,98,98,99,99,98,99,99,98,99,99,99,97,,,,,,,,,,,,,,,,,,,,,,
South Asia,PAK,Pakistan,HIB3,75,75,75,72,69,65,64,63,52,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,PLW,Palau,HIB3,92,95,98,89,99,99,89,85,66,48,92,95,98,98,98,94,90,93,96,96,74,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,PAN,Panama,HIB3,88,81,86,73,80,80,85,87,94,85,86,85,88,92,95,98,99,99,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,PNG,Papua New Guinea,HIB3,61,62,72,73,73,79,74,72,67,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,PRY,Paraguay,HIB3,88,91,92,92,93,90,91,91,91,85,87,88,92,93,92,86,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,PER,Peru,HIB3,84,83,89,90,88,88,95,91,93,93,93,93,94,94,96,41,40,38,43,28,12,,,,,,,,,,,,,,,,,,
East Asia & Pacific,PHL,Philippines,HIB3,65,72,86,60,67,89,22,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,POL,Poland,HIB3,95,96,98,98,98,99,99,99,99,99,98,88,31,22,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,PRT,Portugal,HIB3,99,98,98,98,98,98,98,97,97,96,97,97,97,93,95,99,94,90,86,91,95,,,,,,,,,,,,,,,,,,
Middle East & North Africa,QAT,Qatar,HIB3,98,97,98,99,89,93,97,93,97,99,97,94,96,97,96,92,96,93,80,92,94,92,,,,,,,,,,,,,,,,,
East Asia & Pacific,KOR,Republic of Korea,HIB3,98,97,97,98,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,MDA,Republic of Moldova,HIB3,92,88,89,86,89,89,90,78,63,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,MKD,Republic of North Macedonia,HIB3,91,91,94,89,94,97,95,96,89,82,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,ROU,Romania,HIB3,86,82,89,89,90,91,92,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,RUS,Russian Federation,HIB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
