"","iso3","country","country.y","totalcases","totaldeaths","a1980","a1981","a1982","a1983","a1984","a1985","a1986","a1987","a1988","a1989","a1990","a1991","a1992","a1993","a1994","a1995","a1996","a1997","a1998","a1999","a2000","a2001","a2002","a2003","a2004","a2005","a2006","a2007","a2008","a2009","a2010","a2011","a2012","a2013","a2014","a2015","a2016","a2017","a2018","avg"
"52","FJI","Fiji","Fiji",27,0,95,98,98,99,94,99,96,98,99,99,99,99,98,99,99,99,99,95,95,96,96,97,97,97,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,93
"53","FRA","France","France",178336,30172,80,80,81,81,96,82,84,76,75,75,74,78,77,79,81,83,82,82,81,83,83,84,85,84,85,81,83,78,0,0,0,0,0,0,0,0,0,0,0,55
"54","GAB","Gabon","Gabon",6588,47,0,0,82,80,77,80,90,95,95,96,96,97,97,97,94,90,90,90,90,89,89,90,90,91,91,92,92,92,93,93,94,94,97,92,91,98,94,93,87,82
"55","GBR","United Kingdom","England",296377,45501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","GEO","Georgia","Georgia",1073,16,0,0,0,0,0,0,0,0,0,0,0,0,67,30,30,70,70,76,94,95,95,94,91,87,91,95,95,96,95,95,96,96,95,95,96,96,98,96,97,57
"57","GHA","Ghana","Ghana",29672,153,0,0,0,31,41,41,55,69,70,70,71,77,83,85,86,87,87,88,90,98,99,94,92,92,92,99,99,99,99,99,99,98,98,98,99,97,94,99,98,75
"58","GIN","Guinea","Guinea",6747,41,0,4,7,10,14,18,23,27,31,31,50,60,65,70,75,78,77,76,76,82,81,81,80,80,79,80,81,84,87,91,93,82,77,71,66,72,72,72,72,58
"59","GMB","Gambia","Gambia",146,5,85,96,91,96,98,92,96,97,96,98,98,97,97,98,99,99,99,99,99,98,99,99,99,99,99,99,97,97,95,94,92,90,98,98,96,98,98,94,94,92
"60","GNB","Guinea-Bissau","Guinea-Bissau",1954,26,0,0,0,0,42,56,69,82,89,95,90,94,99,96,95,92,68,82,78,74,77,79,82,84,87,89,90,92,93,94,93,92,94,93,93,92,91,91,91,73
"61","GNQ","Equatorial Guinea","Equatorial Guinea",3071,51,0,0,0,0,0,28,30,40,49,49,94,95,97,98,99,99,99,99,99,73,73,73,72,72,72,72,72,72,71,71,71,66,66,64,56,48,59,63,63,59
"62","GRC","Greece","Greece",4077,200,95,95,76,56,60,65,69,73,77,82,86,90,76,65,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"63","GTM","Guatemala","Guatemala",41135,1573,36,29,28,24,33,30,32,34,41,21,62,43,57,69,78,79,76,88,89,93,95,93,96,97,98,96,96,88,99,93,99,91,94,88,91,89,87,81,88,68
"64","GUY","Guyana","Guyana",350,19,68,73,78,76,49,98,76,69,64,76,85,89,88,94,94,93,88,94,92,91,93,95,91,95,94,96,96,97,96,98,98,97,98,98,99,99,95,97,99,85
"65","HND","Honduras","Honduras",36102,1006,25,41,50,55,41,65,72,66,64,80,70,99,92,95,99,97,99,99,96,93,99,99,94,91,98,98,97,99,99,99,99,99,98,97,96,95,94,93,94,81
"66","HRV","Croatia","Croatia",4530,125,0,0,0,0,0,0,0,0,0,0,0,0,92,98,98,99,99,98,97,96,98,97,99,98,98,98,99,99,99,99,99,99,99,99,98,98,99,98,98,65
"67","HTI","Haiti","Haiti",7167,154,0,60,58,62,71,71,76,72,66,69,72,72,73,73,73,74,72,72,72,71,72,72,73,74,74,75,75,78,78,80,82,83,82,82,81,83,83,83,83,69
"68","HUN","Hungary","Hungary",4380,596,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,94
"69","IDN","Indonesia","Indonesia",91751,4459,61,55,60,58,56,65,66,68,70,72,74,75,76,78,77,77,87,85,84,83,81,80,82,83,85,86,88,83,80,78,88,98,88,86,82,80,81,82,81,74
"70","IND","India","India",1238635,29861,0,4,4,6,7,8,9,23,23,28,66,62,65,69,71,81,79,72,73,74,74,75,75,77,80,86,86,87,86,88,89,90,90,91,89,87,89,92,92,60
"71","IRL","Ireland","Ireland",25819,1754,0,0,0,75,75,80,81,81,82,83,84,84,85,86,86,87,88,89,89,89,89,89,90,90,30,31,31,33,34,30,30,41,42,76,74,77,18,0,0,57
"72","IRN","Iran","Iran (Islamic Republic of)",281413,14853,7,6,10,10,10,79,56,56,88,85,95,91,99,99,99,96,96,91,99,99,99,91,97,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,79
"73","IRQ","Iraq","Iraq",99865,4042,76,80,83,87,91,94,98,99,98,96,96,96,96,96,97,97,96,95,94,93,93,93,94,94,94,92,89,92,87,92,90,94,99,99,99,94,90,96,95,89
"74","ISR","Israel","Israel",56085,430,75,70,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"75","ITA","Italy","Italy",245032,35082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","JAM","Jamaica","Jamaica",816,10,38,32,27,56,50,51,73,92,96,99,98,94,85,99,99,98,98,97,85,89,94,96,90,88,90,95,90,87,92,94,95,95,95,93,90,99,96,93,93,81
"77","JOR","Jordan","Jordan",1120,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,67,58,89,95,90,95,95,95,95,96,98,95,98,99,99,94,36
"78","JPN","Japan","Japan",27029,990,0,85,96,91,85,85,85,85,85,85,85,94,93,91,0,0,0,0,0,0,0,0,0,0,0,0,0,94,90,94,99,94,95,93,93,84,98,93,99,55
"79","KAZ","Kazakhstan","Kazakhstan",76799,585,0,0,0,0,0,0,0,0,0,0,0,0,90,93,86,90,93,99,99,99,98,95,99,99,65,69,99,99,97,96,96,96,95,95,95,95,95,95,95,62
"80","KEN","Kenya","Kenya",14805,260,0,0,0,0,76,82,80,86,90,90,92,94,96,96,97,97,96,96,99,88,91,94,91,87,87,85,92,92,98,99,99,99,97,92,94,87,99,89,95,79
"81","KGZ","Kyrgyzstan","Kyrgyzstan",30326,1169,0,0,0,0,0,0,0,0,0,0,0,0,97,95,97,96,99,97,94,99,96,99,99,99,98,96,99,98,99,98,98,98,98,98,97,97,97,97,97,64
"82","KHM","Cambodia","Cambodia",198,0,0,0,0,0,27,33,47,61,58,55,52,56,50,57,63,69,68,67,69,78,81,64,63,76,95,87,87,90,98,96,95,98,99,96,98,99,99,99,93,64
"83","KNA","Saint Kitts and Nevis","Saint Kitts and Nevis",17,0,0,0,0,0,0,0,0,0,75,78,80,83,86,88,91,94,96,99,99,99,99,95,99,99,89,99,99,97,95,93,91,99,95,94,99,95,96,97,97,71
"84","KOR","South Korea","Republic of Korea",13938,297,0,42,44,45,47,47,47,54,57,70,72,77,83,88,93,93,92,91,75,74,73,81,89,87,93,97,98,96,96,96,96,99,99,99,99,97,98,98,98,75
"85","KWT","Kuwait","Kuwait",61185,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,94,99,99,98,99,97,99,99,99,96,99,99,31
"86","LAO","Laos","Lao People's Democratic Republic",19,0,0,4,6,7,7,8,10,15,27,29,26,34,34,42,69,62,61,58,56,63,69,60,65,65,60,65,61,56,68,67,72,77,81,82,82,83,78,81,79,48
"87","LBR","Liberia","Liberia",1114,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,78,73,69,64,60,76,77,77,85,87,73,85,85,87,73,74,97,87,92,39
"88","LBY","Libya","Libya",2176,53,88,78,89,84,85,87,92,95,92,90,90,95,99,99,99,99,97,97,97,97,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,91
"89","LCA","Saint Lucia","Saint Lucia",23,0,27,44,60,69,80,99,73,89,85,99,94,95,99,95,99,98,89,99,85,99,91,99,95,95,99,97,94,99,99,97,97,99,99,99,89,99,96,88,99,86
"90","LKA","Sri Lanka","Sri Lanka",2752,11,61,58,65,64,67,71,79,76,81,90,84,88,87,88,86,90,88,96,90,97,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,85
"91","LSO","Lesotho","Lesotho",359,6,81,81,84,87,89,91,88,84,86,87,89,90,92,93,95,96,95,94,93,92,88,83,90,96,96,96,95,95,95,92,90,87,93,98,98,98,98,98,98,87
"92","LTU","Lithuania","Lithuania",1960,80,0,0,0,0,0,0,0,0,0,0,0,0,94,98,96,97,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,97,98,97,96,65
"93","LVA","Latvia","Latvia",1197,31,0,0,0,0,0,0,0,0,0,0,0,0,93,91,99,99,99,99,99,99,99,99,99,97,98,97,95,95,95,96,92,93,94,94,92,93,96,96,95,63
"94","MAR","Morocco","Morocco",17962,285,0,0,50,62,70,77,83,92,92,91,96,96,97,99,97,96,96,94,90,93,97,93,92,92,95,95,95,96,99,99,99,99,99,99,99,99,99,99,99,83
"95","MCO","Monaco","Monaco",112,5,0,0,0,0,0,0,0,0,99,99,99,99,98,94,90,90,93,95,99,99,97,94,92,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,70
"96","MDA","Moldova","Republic of Moldova",21798,712,0,0,0,0,0,0,0,0,0,0,0,0,92,92,94,95,97,97,98,99,99,99,99,99,99,97,99,98,98,96,98,98,99,96,97,97,97,96,96,64
"97","MDG","Madagascar","Madagascar",8162,69,21,26,22,31,28,31,49,54,70,72,67,75,77,77,77,72,67,67,70,72,72,73,73,77,85,92,95,94,83,78,76,82,78,77,75,70,70,70,70,64
"98","MDV","Maldives","Maldives",3103,15,7,8,20,27,36,45,54,62,98,98,99,99,99,89,98,99,99,99,99,98,99,98,99,98,98,97,99,98,98,99,97,98,99,99,99,99,99,99,99,81
"99","MEX","Mexico","Mexico",362274,41190,48,41,50,52,47,16,54,71,72,80,67,89,94,93,97,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,91,96,98,99,94,96,81
