country,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Austria,Azerbaijan,Bangladesh,Belarus,Belize,Benin,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Czechia,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Ghana,Greece,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hungary,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lesotho,Liberia,Libya,Lithuania,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Nicaragua,Niger,Nigeria,Niue,Oman,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Republic of Korea,Republic of Moldova,Republic of North Macedonia,Romania,Russian Federation,Rwanda,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Sri Lanka,State of Palestine,Sudan,Sweden,Syrian Arab Republic,Tajikistan,Thailand,Timor-Leste,Togo,Tonga,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Republic of Tanzania,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Yemen,Zambia,Zimbabwe
a2008,66,99,99,73,99,98,,92,99,98,98,96,99,90,96,99,99,99,98,99,99,99,98,91,74,30,99,97,93,81,93,99,90,91,99,99,99,97,78,,90,98,92,98,98,99,71,99,98,96,71,99,,,93,95,95,99,,99,87,93,96,78,99,99,86,80,99,87,34,,,92,90,95,97,98,83,99,99,68,95,95,85,99,99,83,97,99,98,86,,95,89,96,99,79,89,98,98,99,90,88,88,99,87,98,78,65,99,99,75,98,85,94,97,93,93,98,97,96,98,94,99,96,93,95,99,87,98,99,98,98,99,99,91,99,98,,92,36,84,,99,99,88,23,93,89,99,85,92,91,99,96,99,99,86,95,98,89,99,96,85,90,92,60,91,91
a2007,60,98,99,75,99,94,,88,98,98,99,97,94,87,98,99,99,96,98,99,97,99,90,89,74,44,98,94,93,77,86,99,91,94,99,99,99,96,80,,90,90,92,99,98,99,72,99,98,95,69,99,,78,92,97,96,99,,88,84,92,97,78,99,99,87,83,99,92,33,,,87,94,90,99,92,90,94,98,56,95,95,77,99,99,94,95,99,98,86,,92,92,98,99,82,89,99,98,96,90,89,95,99,89,98,73,53,99,99,77,97,84,98,96,90,93,98,96,96,98,95,99,97,89,97,99,93,91,98,96,96,98,99,82,99,98,,98,38,79,,99,99,83,23,93,83,99,74,91,92,99,94,99,99,87,98,98,89,99,99,83,82,94,64,91,87
a2006,60,97,99,54,99,91,,86,97,99,97,93,92,87,97,99,99,99,98,99,98,99,87,96,74,56,98,92,96,84,84,99,87,77,99,99,99,96,72,,88,99,95,99,99,93,72,99,99,94,66,99,98,83,92,97,95,99,,96,81,90,96,75,97,99,86,88,99,89,31,,,90,,95,99,92,91,84,99,61,95,95,77,99,99,95,99,98,99,86,,92,86,97,99,55,89,98,98,95,90,85,88,99,93,98,69,52,99,99,77,98,92,99,96,91,94,99,99,98,99,92,99,97,98,99,94,99,84,98,95,94,99,99,83,98,98,,99,40,79,,99,99,77,21,91,93,99,74,96,93,99,88,99,99,83,97,98,90,99,99,81,83,95,67,92,84
a2005,57,98,98,51,99,94,,82,97,99,96,88,92,88,95,99,99,94,98,99,89,99,87,90,74,41,95,86,94,80,73,99,88,85,98,99,99,94,72,,80,98,96,99,98,84,72,99,99,93,64,98,98,81,92,99,95,99,,96,80,89,96,75,98,99,86,86,99,92,31,,,95,,89,69,85,93,,96,65,97,96,76,99,99,92,99,98,97,83,,93,91,99,99,70,89,99,,95,90,76,95,90,87,88,64,49,97,98,78,99,90,98,95,91,94,89,99,97,97,99,98,97,91,99,97,95,86,98,96,92,98,99,85,98,98,,96,50,76,,99,99,72,20,90,97,99,70,96,93,98,88,99,99,90,96,98,91,99,93,81,95,95,66,92,80
a2004,51,97,98,63,99,96,,82,96,99,99,89,92,86,95,99,99,99,98,99,91,99,95,83,73,41,95,86,92,79,85,99,90,71,98,99,99,95,68,,71,99,97,99,98,94,72,99,99,92,60,98,98,85,91,99,91,92,,98,79,87,94,74,98,99,80,85,99,94,30,,,90,,58,65,87,94,,98,60,98,96,60,99,99,85,97,99,98,76,,91,94,99,99,62,89,98,,95,90,85,94,93,85,88,61,45,96,99,78,99,89,97,95,91,94,83,99,93,99,94,99,96,86,89,99,99,93,99,95,95,97,99,86,99,98,96,99,50,78,,99,98,66,18,90,95,99,72,91,95,97,85,99,99,88,98,98,91,99,99,80,96,96,64,93,76
a2003,44,95,98,54,99,92,,83,93,99,99,90,93,96,94,99,99,95,98,83,90,98,76,82,72,40,95,85,97,79,60,99,87,78,98,99,98,88,61,,63,99,95,99,98,91,72,97,99,91,59,97,98,84,91,99,87,92,,97,80,84,95,74,91,99,77,83,99,94,90,,,88,,67,99,87,91,,99,65,97,96,64,99,99,77,91,99,98,74,,93,96,99,99,64,89,98,,92,90,80,92,97,91,94,58,42,99,98,80,99,89,88,94,86,93,81,99,87,99,95,99,97,88,99,95,87,73,99,94,77,94,99,89,99,98,97,93,65,81,,99,99,69,17,90,98,99,72,79,95,93,88,99,99,87,98,98,91,99,99,80,91,97,66,93,78
a2002,46,94,98,76,95,97,,82,95,99,96,90,83,93,91,99,99,95,98,90,88,97,63,79,71,46,96,85,87,90,51,98,91,79,99,99,97,96,50,,52,99,97,99,98,92,72,94,99,90,58,97,99,85,90,99,91,92,,96,80,82,91,73,94,99,75,82,97,94,90,,,90,,29,99,91,88,,99,65,99,90,69,99,99,73,78,98,99,82,,90,99,87,99,52,92,98,,92,87,82,81,99,85,93,56,38,99,98,82,99,84,83,92,85,95,81,99,89,99,91,99,97,81,99,95,91,98,96,98,70,91,99,76,98,98,97,87,60,84,,99,96,65,16,90,97,99,75,81,92,91,89,99,99,85,98,98,88,99,99,80,90,97,73,94,80
a2001,43,93,97,70,92,96,,83,95,99,98,91,81,90,95,99,99,99,98,80,87,96,64,79,70,52,98,85,87,90,53,98,87,80,97,99,98,82,43,,38,99,98,99,98,92,73,91,99,89,57,97,99,84,90,99,94,94,,93,81,79,95,72,99,99,75,80,91,93,89,,,96,,,95,94,85,,99,60,99,83,73,99,99,73,93,98,98,75,,99,95,89,99,39,94,98,,93,86,75,69,99,84,97,53,41,99,98,78,99,81,86,87,92,95,82,99,81,99,97,99,96,74,95,99,99,98,92,94,89,88,99,63,98,93,98,94,70,86,,98,97,67,16,91,96,99,,83,88,91,95,99,99,83,98,98,91,99,98,79,93,97,78,94,82
a2000,30,93,97,53,95,97,,81,94,99,96,92,97,92,93,99,99,99,98,81,85,96,81,78,66,49,93,84,91,90,50,99,92,80,98,99,98,78,57,,34,99,90,99,98,99,73,89,99,88,56,96,99,83,89,99,95,99,,95,81,77,93,72,99,99,74,81,99,93,89,,,94,,,98,91,80,,96,69,99,88,78,98,99,72,83,99,99,69,,89,78,88,99,24,97,97,,97,84,88,77,93,84,96,50,44,99,98,74,99,88,85,93,92,96,82,99,73,99,97,99,96,81,99,91,99,97,81,94,89,85,99,74,99,94,98,99,69,89,,98,92,56,16,91,98,99,,84,97,95,96,99,99,82,98,98,86,99,98,79,99,98,82,94,84
a1999,38,93,97,49,96,93,,82,92,99,96,87,90,95,99,99,99,98,99,77,84,95,78,78,62,45,95,84,80,87,39,97,89,74,96,99,98,73,30,,26,99,99,99,98,99,73,98,99,87,54,96,99,83,89,98,95,98,,93,82,74,91,71,93,99,74,83,99,93,89,,,89,,,99,88,70,,99,63,99,92,82,97,99,72,87,99,98,78,,81,75,86,99,39,99,97,,93,83,90,80,95,93,99,47,46,99,98,70,99,82,85,97,92,96,85,99,74,99,97,99,96,94,99,99,99,99,81,92,90,82,99,73,99,96,96,99,71,92,,97,91,66,16,91,98,98,,81,99,94,93,99,99,80,99,98,87,99,98,79,98,95,79,95,86
