unicef_region,iso3,country,vaccine,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Latin America & Caribbean,JAM,Jamaica,IPV1,95,95,95,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,JOR,Jordan,IPV1,98,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,KAZ,Kazakhstan,IPV1,99,99,93,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,KEN,Kenya,IPV1,88,78,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,KIR,Kiribati,IPV1,92,87,81,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,KWT,Kuwait,IPV1,99,99,98,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,KGZ,Kyrgyzstan,IPV1,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,LAO,Lao People's Democratic Republic,IPV1,60,61,51,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,LBN,Lebanon,IPV1,96,96,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,LSO,Lesotho,IPV1,39,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,LBR,Liberia,IPV1,73,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,LBY,Libya,IPV1,98,99,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MDG,Madagascar,IPV1,70,62,49,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MWI,Malawi,IPV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,MDV,Maldives,IPV1,99,99,99,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,MLI,Mali,IPV1,66,46,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,MRT,Mauritania,IPV1,68,68,65,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MUS,Mauritius,IPV1,98,95,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,MEX,Mexico,IPV1,90,93,96,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,MNG,Mongolia,IPV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,MNE,Montenegro,IPV1,95,95,97,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,MAR,Morocco,IPV1,80,17,95,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,MOZ,Mozambique,IPV1,64,60,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,MMR,Myanmar,IPV1,82,12,72,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,NAM,Namibia,IPV1,82,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,NRU,Nauru,IPV1,99,99,97,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,NPL,Nepal,IPV1,16,16,77,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,NIC,Nicaragua,IPV1,99,99,99,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,NER,Niger,IPV1,79,85,62,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,NGA,Nigeria,IPV1,57,57,57,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,OMN,Oman,IPV1,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,PAK,Pakistan,IPV1,75,67,56,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,PAN,Panama,IPV1,96,96,96,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,PNG,Papua New Guinea,IPV1,35,32,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,PRY,Paraguay,IPV1,91,95,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,PER,Peru,IPV1,89,90,94,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,PHL,Philippines,IPV1,41,41,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,QAT,Qatar,IPV1,99,98,99,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,MDA,Republic of Moldova,IPV1,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,MKD,Republic of North Macedonia,IPV1,97,97,97,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,RUS,Russian Federation,IPV1,97,97,97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,RWA,Rwanda,IPV1,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,KNA,Saint Kitts and Nevis,IPV1,99,90,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,LCA,Saint Lucia,IPV1,99,89,95,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
